"Country_Name","Country_Code","año","escanos","PBI","educacion_superior","estabilidad_politica","fuerza_laboral","corrupcion","igualdad","region"
"Afghanistan","AFG","2020",27.0161290322581,-2.35110067203466,6.16258001327515,-2.70263171195984,16.463,-1.49369978904724,1.5,"Asia"
"Albania","ALB","2020",29.5081967213115,-3.30208203862541,58.0625381469727,0.0885764509439468,50.089,-0.572924494743347,3,"Europe Eastern"
"Algeria","DZA","2020",25.7575757575758,-5,54.2433700561523,-0.847814321517944,15.439,-0.66646021604538,1.5,"Africa"
"Andorra","AND","2020",46.4285714285714,-11.1839399355384,12.7819499969482,1.58857178688049,59.887,1.26600527763367,3,"Europe Western"
"Angola","AGO","2020",30,-5.63821471714934,59.5216789245605,-0.600726008415222,73.047,-0.938672542572021,3,"Africa"
"Antigua and Barbuda","ATG","2020",11.1111111111111,-18.8803992026325,72.5705871582031,0.929504930973053,55.7,0.238533273339272,3.5,"Latin America & Caribbean"
"Argentina","ARG","2020",40.8560311284047,-9.9004848136464,24.0867099761963,-0.0720262452960014,46.506,-0.16378065943718,4,"Latin America & Caribbean"
"Armenia","ARM","2020",23.4848484848485,-7.19999999920631,54.908561706543,-0.77164226770401,57.689,-0.00343869999051094,3,"Asia"
"Australia","AUS","2020",30.4635761589404,-0.33468635945016,76.215690612793,0.861676931381226,60.192,1.63295590877533,4,"Oceania"
"Austria","AUT","2020",39.344262295082,-6.63299143662553,45.3187294006348,0.887528836727142,55.902,1.47778916358948,4,"Europe Western"
"Azerbaijan","AZE","2020",17.3553719008264,-4.30000010230737,24.5185298919678,-0.852247476577759,64.728,-1.07708406448364,4.5,"Asia"
"Bahamas, The","BHS","2020",12.8205128205128,-21.4234630658488,65.2590179443359,0.830237448215485,62.057,1.10620594024658,3,"Latin America & Caribbean"
"Bahrain","BHR","2020",15,-4.64463735878491,45.8221015930176,-0.610109269618988,43.484,-0.0935939401388168,3,"Asia"
"Bangladesh","BGD","2020",20.9169054441261,3.44801755122445,45.5718193054199,-0.915807783603668,36.565,-1.00367724895477,3,"Asia"
"Barbados","BRB","2020",20,-12.5396664134407,69.6800994873047,1.12057745456696,57.585,1.19406688213348,3,"Latin America & Caribbean"
